|citation|section_title|text
1140|151.157.B|  CUSTOMS BROKERS|(B)
1141|151.157.B|  CUSTOMS BROKERS|who is compensated by the broker with a regular salary or wages;
1142|151.157.C|  CUSTOMS BROKERS|(C)
1143|151.157.C|  CUSTOMS BROKERS|who is under the direct control and supervision of the broker; and
1144|151.157.D|  CUSTOMS BROKERS|(D)
1145|151.157.D|  CUSTOMS BROKERS|from whose salary or wages the broker is required to and actually does deduct and withhold a tax under federal law. Text of subsec.
1146|151.157.h|  CUSTOMS BROKERS|(h)
1147|151.157.h|  CUSTOMS BROKERS|as added by Acts 2003, 78th Leg., ch. 1001, Sec. 1
1148|151.157.h|  CUSTOMS BROKERS|(h)
1149|151.157.h|  CUSTOMS BROKERS|Notwithstanding any other law, the filing of a petition to initiate judicial review does not vacate the comptroller decision that is the subject of review and does not affect the enforceability of that decision.
1150|151.157.i|  CUSTOMS BROKERS|(i)
1151|151.157.i|  CUSTOMS BROKERS|The comptroller shall impose a penalty of $500 for each occurrence on a customs broker who fails to file the report required by this section.
1152|151.1575.i|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|
1153|151.1575.a|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(a)
1154|151.1575.a|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|A customs broker licensed by the comptroller or an authorized employee of the customs broker may issue documentation certifying that delivery of tangible personal property was made to a point outside the territorial limits of the United States as required by Section 151.307(b)(2)
1155|151.1575.B|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(B)
1156|151.1575.B|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|only if the customs broker or authorized employee:
1157|151.1575.1|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(1)
1158|151.1575.1|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|watches the property cross the border of the United States;
1159|151.1575.2|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(2)
1160|151.1575.2|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|watches the property being placed on a common carrier for delivery outside the territorial limits of the United States; or
1161|151.1575.3|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(3)
1162|151.1575.3|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|verifies that the purchaser is transporting the property to a destination outside of the territorial limits of the United States by:
1163|151.1575.A|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(A)
1164|151.1575.A|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|examining a passport, laser visa identification card, or foreign voter registration picture identification indicating that the purchaser of the property resides in a foreign country;
1165|151.1575.B|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(B)
1166|151.1575.B|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|requiring that the documentation examined under Paragraph
1167|151.1575.A|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(A)
1168|151.1575.A|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|have a unique identification number for that purchaser;
1169|151.1575.C|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(C)
1170|151.1575.C|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|requiring the purchaser to produce the property and the original sales receipt for the property;
1171|151.1575.D|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(D)
1172|151.1575.D|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|requiring the purchaser to state the foreign country destination of the property which must be the foreign country in which the purchaser resides;
1173|151.1575.E|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(E)
1174|151.1575.E|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|requiring the purchaser to state the date and time the property is expected to arrive in the foreign country destination;
1175|151.1575.F|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(F)
1176|151.1575.F|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|requiring the purchaser to state the date and time the property was purchased, the name and address of the place at which the property was purchased, the sales price and quantity of the property, and a description of the property;
1177|151.1575.G|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(G)
1178|151.1575.G|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|requiring the purchaser and the broker or an authorized employee to sign in the presence of each other a form prepared or approved by the comptroller:
1179|151.1575.i|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(i)
1180|151.1575.i|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|stating that the purchaser has provided the information and documentation required by this subdivision; and(ii)  that contains a notice to the purchaser that tangible personal property not exported is subject to taxation under this chapter and the purchaser is liable, in addition to other possible civil liabilities and criminal penalties, for payment of an amount equal to the value of the merchandise if the purchaser improperly obtained a refund of taxes relating to the property;
1181|151.1575.H|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(H)
1182|151.1575.H|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|requiring the purchaser to produce the purchaser's:
1183|151.1575.i|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(i)
1184|151.1575.i|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|Form I-94, Arrival/Departure record, or its successor, as issued by the United States Immigration and Naturalization Service, for those purchasers in a county not bordering the United Mexican States; or(ii)  air, land, or water travel documentation if the customs broker is located in a county that does not border the United Mexican States; and
1185|151.1575.I|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(I)
1186|151.1575.I|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|requiring the purchaser and the broker or an authorized employee, when using a power of attorney form, to attest, as a part of the form and in the presence of each other:
1187|151.1575.i|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(i)
1188|151.1575.i|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|that the purchaser has provided the information and documentation required by this subdivision; and(ii)  that the purchaser is on notice that tangible personal property not exported is subject to taxation under this chapter and the purchaser is liable, in addition to other possible civil liabilities and criminal penalties, for payment of an amount equal to the value of the merchandise if the purchaser improperly obtained a refund of taxes relating to the property.
1189|151.1575.b|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(b)
1190|151.1575.b|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|A customs broker licensed by the comptroller or an authorized employee of the customs broker may issue and deliver documentation under Subsection
1191|151.1575.a|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(a)
1192|151.1575.a|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|at any time after the tangible personal property is purchased and the broker or employee completes the process required by Subsection (a).  The comptroller shall limit to six the number of receipts for which a single proof of export documentation may be issued under this section.  The documentation must include:
1193|151.1575.1|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(1)
1194|151.1575.1|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the name and address of the customs broker;
1195|151.1575.2|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(2)
1196|151.1575.2|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the license number of the customs broker;
1197|151.1575.3|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(3)
1198|151.1575.3|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the name and address of the purchaser;
1199|151.1575.4|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(4)
1200|151.1575.4|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the name and address of the place at which the property was purchased;
1201|151.1575.5|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(5)
1202|151.1575.5|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the date and time of the sale;
1203|151.1575.6|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(6)
1204|151.1575.6|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|a description and the quantity of the property;
1205|151.1575.7|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(7)
1206|151.1575.7|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the sales price of the property;
1207|151.1575.8|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(8)
1208|151.1575.8|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the foreign country destination of the property, which may not be the place of export;
1209|151.1575.9|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(9)
1210|151.1575.9|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the date and time:
1211|151.1575.A|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(A)
1212|151.1575.A|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|at which the customs broker or authorized employee watched the property cross the border of the United States;
1213|151.1575.B|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(B)
1214|151.1575.B|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|at which the customs broker or authorized employee watched the property being placed on a common carrier for delivery outside the territorial limits of the United States;  or
1215|151.1575.C|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(C)
1216|151.1575.C|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the property is expected to arrive in the foreign country destination, as stated by the purchaser;
1217|151.1575.10|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(10)
1218|151.1575.10|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|a declaration signed by the customs broker or an authorized employee of the customs broker stating that:
1219|151.1575.A|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(A)
1220|151.1575.A|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the customs broker is a licensed Texas customs broker;  and
1221|151.1575.B|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(B)
1222|151.1575.B|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|the customs broker or authorized employee inspected the property and the original receipt for the property; and
1223|151.1575.11|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(11)
1224|151.1575.11|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|an export certification stamp issued by the comptroller.
1225|151.1575.c|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(c)
1226|151.1575.c|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|The comptroller may require a customs broker to pay the comptroller the amount of any tax refunded if the customs broker does not comply with this section, Section 151.157, or the rules adopted by the comptroller under this section or Section 151.157.  In addition to the amount of the refunded tax, the comptroller may require the customs broker to pay a penalty of not less than $500 nor more than $5,000.  The comptroller and the state may deduct any penalties to be paid by a customs broker from the broker's posted bond.
1227|151.1575.d|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(d)
1228|151.1575.d|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|A proceeding to require a customs broker to pay an amount under Subsection
1229|151.1575.c|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(c)
1230|151.1575.c|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|is a contested case in the same manner as a proceeding to revoke or suspend a customs broker's license under Section 151.157(f).
1231|151.1575.e|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|(e)
1232|151.1575.e|  REQUIREMENTS RELATING TO ISSUING DOCUMENTATION SHOWING EXPORTATION OF PROPERTY|In this section, customs broker and authorized employee have the meanings assigned by Section 151.157.
1233|151.158.e|  EXPORT STAMPS|
1234|151.158.a|  EXPORT STAMPS|(a)
1235|151.158.a|  EXPORT STAMPS|The comptroller shall have printed or manufactured stamps in the design, size, and quantity the comptroller determines is necessary for the purpose of this section.
1236|151.158.b|  EXPORT STAMPS|(b)
1237|151.158.b|  EXPORT STAMPS|The comptroller may designate the method of identification for the stamps.
1238|151.158.c|  EXPORT STAMPS|(c)
1239|151.158.c|  EXPORT STAMPS|The comptroller shall require that the stamps be manufactured so that a stamp may be easily and securely attached to export documentation.
1240|151.158.d|  EXPORT STAMPS|(d)
1241|151.158.d|  EXPORT STAMPS|The comptroller shall change the design of the stamps at least once each calendar quarter, or more frequently if the comptroller determines it is necessary for the enforcement of this section and the comptroller's rules.
1242|151.158.e|  EXPORT STAMPS|(e)
1243|151.158.e|  EXPORT STAMPS|The comptroller may provide stamps only to a customs broker licensed under Section 151.157.
1244|151.158.f|  EXPORT STAMPS|(f)
1245|151.158.f|  EXPORT STAMPS|A stamp is invalid if transferred to a person other than the customs broker to whom the comptroller issued the stamp, to an authorized employee of that customs broker, or to an authorized independent contractor.
1246|151.158.g|  EXPORT STAMPS|(g)
1247|151.158.g|  EXPORT STAMPS|The comptroller shall charge $2.10 for each stamp.  The comptroller shall use:
1248|151.158.1|  EXPORT STAMPS|(1)
1249|151.158.1|  EXPORT STAMPS|$1.60 of the money from the sale of the stamps only for costs related to producing the stamps, including costs of materials, labor, and overhead; and
1250|151.158.2|  EXPORT STAMPS|(2)
1251|151.158.2|  EXPORT STAMPS|the remaining 50 cents only for enforcement of the laws relating to customs brokers under this title.(g-1)  Any unspent money shall be deposited to the credit of the general revenue fund.(g-2)  Customs brokers who return unused stamps to the comptroller's office on a quarterly basis shall get credit towards the purchase of new stamps.
1252|151.158.h|  EXPORT STAMPS|(h)
1253|151.158.h|  EXPORT STAMPS|The comptroller may require stamps to be purchased in minimum quantities if the comptroller considers it necessary for the efficient administration of this section.
1254|151.159.h|  REFUNDS;  IDENTIFICATION CARDS|
1255|151.159.a|  REFUNDS;  IDENTIFICATION CARDS|(a)
1256|151.159.a|  REFUNDS;  IDENTIFICATION CARDS|The comptroller in writing may authorize a customs broker to refund taxes collected under this chapter at export locations specified by the comptroller.
1257|151.159.b|  REFUNDS;  IDENTIFICATION CARDS|(b)
1258|151.159.b|  REFUNDS;  IDENTIFICATION CARDS|The comptroller may issue an export identification card to a wholesaler or retailer.  The card must contain the picture of the person to whom the card is issued.  The comptroller may issue the card only if the wholesaler or retailer shows by clear and convincing evidence that the wholesaler or retailer is a citizen and resident of a foreign country and that any tangible personal property purchased in this state by the wholesaler or retailer is for export purposes only and is to be used or consumed outside the territorial limits of the United States.  A wholesaler or retailer issued an export identification card may use the card only to facilitate the preparation of documentation by a customs broker under Section 151.307(b).  The comptroller may require a wholesaler or retailer applying for an export identification card to submit any information in any form the comptroller determines is necessary and to pay a fee in an amount the comptroller determines is necessary to pay for the cost of issuing the card.
1259|151.160.b|  DEPOSITS|Penalties collected by the comptroller shall be deposited into general revenue.  Fees and charges collected by the comptroller under this Act shall be considered reimbursements for expenses of administration and shall be available for use by the comptroller in accordance with provisions in the General Appropriations Act appropriating such revenues for use by agencies.
1260|151.201.b|  SALES TAX PERMITS|
1261|151.201.a|  SALES TAX PERMITS|(a)
1262|151.201.a|  SALES TAX PERMITS|The comptroller shall issue to an applicant who qualifies under Section 151.202 of this code and under Subchapter G  of this chapter a separate permit for each place of business in this state.
1263|151.201.b|  SALES TAX PERMITS|(b)
1264|151.201.b|  SALES TAX PERMITS|The holder of a permit shall display it conspicuously in the place of business to which it applies.
1265|151.201.c|  SALES TAX PERMITS|(c)
1266|151.201.c|  SALES TAX PERMITS|A permit is valid only for the person and the place of business to which it applies and is nonassignable.
1267|151.201.d|  SALES TAX PERMITS|(d)
1268|151.201.d|  SALES TAX PERMITS|Repealed by Acts 1991, 72nd Leg., 1st C.S., ch. 5, Sec. 14.12(1).
1269|151.202.d|  APPLICATION FOR PERMIT|
1270|151.202.a|  APPLICATION FOR PERMIT|(a)
1271|151.202.a|  APPLICATION FOR PERMIT|A person desiring to be a seller in this state shall file with the comptroller an application for a permit for each place of business.
1272|151.202.b|  APPLICATION FOR PERMIT|(b)
1273|151.202.b|  APPLICATION FOR PERMIT|An application must:
1274|151.202.1|  APPLICATION FOR PERMIT|(1)
1275|151.202.1|  APPLICATION FOR PERMIT|be on a form prescribed by the comptroller;
1276|151.202.2|  APPLICATION FOR PERMIT|(2)
1277|151.202.2|  APPLICATION FOR PERMIT|state the name under which the applicant transacts or intends to transact business;
1278|151.202.3|  APPLICATION FOR PERMIT|(3)
1279|151.202.3|  APPLICATION FOR PERMIT|give the address of the place of business to which the permit is to apply;
1280|151.202.4|  APPLICATION FOR PERMIT|(4)
1281|151.202.4|  APPLICATION FOR PERMIT|contain any other information required by the comptroller;  and
1282|151.202.5|  APPLICATION FOR PERMIT|(5)
1283|151.202.5|  APPLICATION FOR PERMIT|be signed by the owner if the owner is an individual, a member or partner if the owner is an association or partnership, or an executive officer or other person authorized by the corporation to sign the application if the owner is a corporation.
1284|151.202.c|  APPLICATION FOR PERMIT|(c)
1285|151.202.c|  APPLICATION FOR PERMIT|An application that is filed electronically complies with the signature requirement under Subsection (b).
1286|151.2021.c|  CANCELLATION OF INACTIVE PERMIT|
1287|151.2021.a|  CANCELLATION OF INACTIVE PERMIT|(a)
1288|151.2021.a|  CANCELLATION OF INACTIVE PERMIT|The comptroller may cancel a sales tax permit under this section if the permit holder has reported no business activity for 12 consecutive months.  No business activity means zero total sales, zero taxable sales, and zero taxable purchases.
1289|151.2021.b|  CANCELLATION OF INACTIVE PERMIT|(b)
1290|151.2021.b|  CANCELLATION OF INACTIVE PERMIT|To cancel a permit, the comptroller shall send a notice of the comptroller's intention to cancel the permit to the permit holder at the address shown on the permit.  The notice must specify the date on which the comptroller intends to cancel the permit.  That date must be at least 30 days after the date the comptroller sends the notice to the permit holder.  The comptroller may not cancel the permit before the date specified in the notice.
1291|151.203.b|  SUSPENSION AND REVOCATION OF PERMIT|
1292|151.203.a|  SUSPENSION AND REVOCATION OF PERMIT|(a)
1293|151.203.a|  SUSPENSION AND REVOCATION OF PERMIT|If a person fails to comply with a provision of this chapter or with a rule of the comptroller adopted under this chapter and relating to the sales tax, the comptroller, after a hearing, may revoke or suspend one or more permits issued to the person.
1294|151.203.b|  SUSPENSION AND REVOCATION OF PERMIT|(b)
1295|151.203.b|  SUSPENSION AND REVOCATION OF PERMIT|A person whose permit the comptroller proposes to revoke or suspend is entitled to 20 days' written notice of the time and place of the hearing on the revocation or suspension.  At the hearing the person must show cause why each permit should not be suspended or revoked.
1296|151.203.c|  SUSPENSION AND REVOCATION OF PERMIT|(c)
1297|151.203.c|  SUSPENSION AND REVOCATION OF PERMIT|The comptroller shall give written notice of the revocation or suspension of a permit to the holder of the permit.
1298|151.203.d|  SUSPENSION AND REVOCATION OF PERMIT|(d)
1299|151.203.d|  SUSPENSION AND REVOCATION OF PERMIT|Notices under this section may be served on the permit holder personally or may be mailed to the permittee's address as shown in the records of the comptroller.
1300|151.204.d|  REISSUED OR NEW PERMIT AFTER REVOCATION OR SUSPENSION|
1301|151.204.a|  REISSUED OR NEW PERMIT AFTER REVOCATION OR SUSPENSION|(a)
1302|151.204.a|  REISSUED OR NEW PERMIT AFTER REVOCATION OR SUSPENSION|A new permit may not be issued to a former holder of a revoked permit unless the comptroller is satisfied that the person will comply with the provisions of this chapter and the rules of the comptroller relating to the sales tax.
1303|151.204.b|  REISSUED OR NEW PERMIT AFTER REVOCATION OR SUSPENSION|(b)
1304|151.204.b|  REISSUED OR NEW PERMIT AFTER REVOCATION OR SUSPENSION|The comptroller may prescribe the terms under which a suspended permit may be reissued.
1305|151.204.c|  REISSUED OR NEW PERMIT AFTER REVOCATION OR SUSPENSION|(c)
1306|151.204.c|  REISSUED OR NEW PERMIT AFTER REVOCATION OR SUSPENSION|Repealed by Acts 1991, 72nd Leg., 1st C.S., ch. 5, Sec. 14.12(2).
1307|151.205.c|  APPEALS|A taxpayer may appeal the revocation or suspension of a tax permit in the same manner that appeals are made from a final deficiency determination.
1308|151.251.c|  SECURITY REQUIRED|
1309|151.251.a|  SECURITY REQUIRED|(a)
1310|151.251.a|  SECURITY REQUIRED|An applicant for a sales tax permit or for registration as a retailer under Section 151.106 of this code must file with the comptroller adequate security for the payment of the taxes imposed by this chapter.
1311|151.251.b|  SECURITY REQUIRED|(b)
1312|151.251.b|  SECURITY REQUIRED|If the holder of a sales tax permit or a retailer registered under Section 151.106 of this code who is exempted under Section 151.254 of this code from filing security under this subchapter is determined by the comptroller to be delinquent in the payment of the taxes imposed by this chapter, the comptroller shall require the holder or retailer to file with the comptroller adequate security for the payment of the taxes imposed by this chapter.
1313|151.251.c|  SECURITY REQUIRED|(c)
1314|151.251.c|  SECURITY REQUIRED|For the purposes of Subsection
1315|151.251.b|  SECURITY REQUIRED|(b)
1316|151.251.b|  SECURITY REQUIRED|of this section, a holder of a permit or a retailer is delinquent in the payment of the taxes imposed by this chapter if the holder or retailer fails to file all reports due or to pay any determination before the day the determination could be paid without additional penalty.
1317|151.251.d|  SECURITY REQUIRED|(d)
1318|151.251.d|  SECURITY REQUIRED|If the comptroller determines that it is necessary to ensure compliance with this chapter, the comptroller may require security from a person as a condition to retaining a permit under this chapter.
1319|151.252.d|  TEMPORARY PERMIT|
1320|151.252.a|  TEMPORARY PERMIT|(a)
1321|151.252.a|  TEMPORARY PERMIT|The comptroller may issue a temporary sales tax permit or retailer's registration to an applicant for a period determined by the comptroller in order to arrange for and provide the security required by this subchapter.
1322|151.252.b|  TEMPORARY PERMIT|(b)
1323|151.252.b|  TEMPORARY PERMIT|A temporary permit or registration expires without further notice on the expiration date shown on the temporary permit or registration.
1324|151.253.b|  SECURITY:  REQUIREMENTS|
1325|151.253.a|  SECURITY:  REQUIREMENTS|(a)
1326|151.253.a|  SECURITY:  REQUIREMENTS|The security required by this subchapter may be a cash bond, a bond from a surety company chartered or authorized to do business in this state, a certificate of deposit, a certificate of savings or U.S. Treasury bond, an assignment of negotiable stocks or bonds that has been approved by the comptroller, or any other security deemed by the comptroller to be sufficient for the payment of taxes imposed by this chapter.
1327|151.253.b|  SECURITY:  REQUIREMENTS|(b)
1328|151.253.b|  SECURITY:  REQUIREMENTS|The comptroller shall fix the amount of security required in each case, taking into consideration the amount of tax that has or is expected to become due from the person under this chapter and all other applicable local sales and use taxes and the necessity to protect the state against the failure to pay these taxes.  The maximum amount of security that may be required is the greater of $100,000 or four times the amount of the person's average monthly tax liability.
1329|151.253.c|  SECURITY:  REQUIREMENTS|(c)
1330|151.253.c|  SECURITY:  REQUIREMENTS|A bond qualifying under this subchapter must be a continuing instrument and a new and separate obligation for the penal sum named in the bond for each calendar year or portion of a calendar year while the bond is in effect.  The bond must remain in effect until the surety or sureties are released and discharged.
1331|151.254.c|  EXEMPTION FROM FILING SECURITY|
1332|151.254.a|  EXEMPTION FROM FILING SECURITY|(a)
1333|151.254.a|  EXEMPTION FROM FILING SECURITY|A person who has filed security under this subchapter is exempted from the security requirements of this subchapter and is entitled, on request, to have the comptroller return, refund, or release the security if in the judgment of the comptroller the person has for two consecutive years continuously complied with the conditions of the security filed under this subchapter.
1334|151.254.b|  EXEMPTION FROM FILING SECURITY|(b)
1335|151.254.b|  EXEMPTION FROM FILING SECURITY|A person who received a sales tax permit or was registered as a retailer before January 1, 1974, and has not been determined to be delinquent as provided by Section 151.251
1336|151.254.b|  EXEMPTION FROM FILING SECURITY|(b)
1337|151.254.b|  EXEMPTION FROM FILING SECURITY|of this code or been required to file security under this subchapter is exempted from filing security.
1338|151.255.b|  NOTICE|
1339|151.255.a|  NOTICE|(a)
1340|151.255.a|  NOTICE|If the comptroller determines that the holder of a permit or a registered retailer is required to file security under Section 151.251
1341|151.255.b|  NOTICE|(b)
1342|151.255.b|  NOTICE|of this code, the comptroller shall notify the person in writing that security is required to be filed and state the amount of security set by the comptroller.
1343|151.255.b|  NOTICE|(b)
1344|151.255.b|  NOTICE|Notice under this subsection shall be mailed to the permit holder or registered retailer at the address shown in the comptroller's records.
1345|151.256.b|  FAILURE TO PROVIDE SECURITY:  LOSS OF PERMIT|If a person fails to provide security under this subchapter as provided by Section 151.251
1346|151.256.b|  FAILURE TO PROVIDE SECURITY:  LOSS OF PERMIT|(b)
1347|151.256.b|  FAILURE TO PROVIDE SECURITY:  LOSS OF PERMIT|of this code, the comptroller shall revoke or suspend the permit or retailer's registration of the person as provided by Section 151.203 of this code.
1348|151.257.b|  FORFEITURE OF SECURITY:  DETERMINATION|
1349|151.257.a|  FORFEITURE OF SECURITY:  DETERMINATION|(a)
1350|151.257.a|  FORFEITURE OF SECURITY:  DETERMINATION|If a person who has filed a security under this subchapter fails to pay the taxes imposed by this chapter or by a city under the Local Sales and Use Tax Act  or fails to file a tax return required by this chapter or under the Local Sales and Use Tax Act, the comptroller shall issue a deficiency or jeopardy determination containing a demand for the amount of taxes, penalties, and interest due.  The determination shall state that if payment is not made on or before the last day that the deficiency may be paid without incurring further penalty, the security or a part of the security may be forfeited.
1351|151.257.b|  FORFEITURE OF SECURITY:  DETERMINATION|(b)
